Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
3.15000000e-01 1.72527646e-01 5.73630119e-01 1.05138394e-01 1.47414871e-01 4.10827108e-03 9.17303723e-03
3.88000000e-01 7.85120567e-02 3.73918885e-02 1.98685842e-01 1.91048051e-02 1.78558181e-03 9.59682908e-04
5.01000000e-01 3.57861480e-02 3.22258897e-02 6.39118852e-02 3.47685398e-03 2.77179573e-03 6.26749748e-04
6.97000000e-01 5.63251415e-03 2.61317467e-02 2.54939431e-02 6.76860766e-04 9.83709118e-04 2.12082389e-04
7.54000000e-01 6.22974233e-03 1.39174592e-02 2.05392745e-02 4.96963992e-04 6.82136211e-04 2.96681030e-04
8.19000000e-01 4.85511834e-03 1.22285102e-02 1.19039105e-02 3.42714498e-04 5.63035591e-04 1.74185163e-04
8.95000000e-01 4.37698497e-03 5.04410719e-03 1.30119109e-02 4.11855438e-04 3.68965951e-04 1.86604583e-04
9.38000000e-01 3.50531952e-03 7.78398563e-03 8.39756985e-03 2.31147493e-04 3.49806732e-04 1.09606738e-04
9.85000000e-01 5.72973576e-03 7.33313191e-03 6.88135355e-03 2.02494630e-04 2.22604432e-04 9.59119657e-05
1.03700000e+00 2.40383104e-03 4.38009918e-03 5.60301474e-03 1.97339313e-04 2.03571339e-04 7.97068225e-05
1.09500000e+00 3.69028518e-03 2.67959201e-03 4.14755574e-03 1.92340529e-04 1.57637376e-04 7.95307598e-05
1.16000000e+00 3.08184616e-03 3.99608606e-03 4.56188573e-03 9.33469862e-05 1.29217144e-04 2.85588322e-05
1.23500000e+00 1.91633304e-03 3.26986117e-03 2.60601595e-03 7.54364316e-05 9.34391194e-05 1.26866509e-05
1.27800000e+00 2.42834776e-03 1.02687439e-03 3.39098382e-03 1.19853494e-04 1.16649183e-04 3.89480715e-05
1.32400000e+00 1.62603565e-03 1.64718169e-03 1.97088796e-03 9.57543069e-05 6.68394801e-05 3.23402536e-05
1.37500000e+00 1.27880442e-03 2.46508796e-03 1.90876571e-03 6.26333104e-05 6.30323321e-05 2.18356152e-06
